Category,Subcategory,Dataset / Link Title,Provider,Link (URL),Access / Format,Coverage / Notes,Scope,Historic Years Available,Update Frequency
Foundation,Roadway Network,"GDOT GIS REST Services (roadway network, bridges, permits, railroad crossings)",Georgia DOT (GDOT),https://egisp.dot.ga.gov/arcgis/rest/services,Service directory (REST),"Multiple map/feature services: roadway network, bridge load limits, permits, railroad crossings, EOC",Georgia,N/A (live service),Continuous
Foundation,Roadway Network,GDOT Road Inventory Data (ORIDA),Georgia DOT,https://www.dot.ga.gov/GDOT/Pages/RoadTrafficData.aspx,Geodatabase; Excel; PDF,"125,000+ centerline miles of public roads; functional class, routes, NHS, bridges, boundaries",Georgia,N/A (live service),Continuous
Foundation,Roadway Network,GDOT Functional Classification Map Service,Georgia DOT / UGA ITOS,https://maps.itos.uga.edu/arcgis/rest/services/GDOT/GDOT_FunctionalClass/MapServer,ArcGIS MapServer REST,"Interstates, freeways, arterials, collectors, local roads, bridge locations",Georgia,N/A (live service),Continuous
Foundation,Roadway Network,Highway Performance Monitoring System (HPMS) - Public Release Geospatial,FHWA / Data.gov,https://catalog.data.gov/dataset/highway-performance-monitoring-system-hpms-b7a2f,Download (shapefiles),"National HPMS segments; AADT, functional class, lanes, speed limit; filter to Georgia",U.S.,2012-2023,Annual
Foundation,Roadway Network,GDOT State Route Prioritization (SRP),Georgia DOT (GDOT),https://rnhp.dot.ga.gov/hosting/rest/services/EOC/State_Route_Prioritization/MapServer/0,GIS REST service,"Priority levels: Critical, High, Medium, Low for state routes",Georgia,2015-present,Annual
Asset Preservation,Bridges,National Bridge Inventory (NBI) – Data & Downloads,FHWA,https://www.fhwa.dot.gov/bridge/nbi.cfm,Download; API & files,"Official bridge inventory; sufficiency rating, deck/superstructure/substructure condition, vertical clearance",U.S.,1992-2025,Annual
Safety,Crash Data,GDOT Crash Data Dashboard,Georgia DOT (GDOT),https://gdot.aashtowaresafety.net/crash-data,Interactive dashboard,"Crash and vehicle data on Georgia public roads; filtering by city, county, region",Georgia,Multi-year,Continuous
Safety,Crash Data,GEARS (Georgia Electronic Accident Reporting System),GDOT / LexisNexis,https://www.gearsportal.com/,Restricted; requires agreement,Statewide crash report repository; requires data-sharing agreement with GDOT,Georgia,Multi-year,Continuous
Safety,Crash Data,FARS (Fatality Analysis Reporting System),NHTSA,https://www.nhtsa.gov/FARS,Download (CSV/SAS); FTP; API,"Census of all fatal motor vehicle crashes, 1975-present; filter to Georgia (State=13)",U.S.,1975-2023,Annual (~1 year lag)
Safety,Crash Data,Georgia Governor's Office of Highway Safety – Traffic Data,GA GOHS,https://www.gahighwaysafety.org/traffic-records-data-data-sources/,Reports; PDF; county data sheets,"Georgia traffic safety facts; fatalities, serious injuries, impaired driving stats by county",Georgia,Multi-year,Annual
Mobility,Traffic Counts,GDOT TADA (Traffic Analysis & Data Application),Georgia DOT,https://gdottrafficdata.drakewell.com/publicmultinodemap.asp,Interactive web app; CSV export,"~230 permanent ATR sites + 9,000+ portable counters; AADT for ~27,000 segments",Georgia,Multi-year historical,Continuous
Mobility,Traffic Counts,GDOT Traffic Counts (AADT and Truck Percent) 2008-2017,ARC / GDOT,https://opendata.atlantaregional.com/datasets/c9ce7fe9c5f94f338422e4d5c7119158_0,Download (shapefile),Historical AADT and truck percentage data,Georgia,2008-2017,Static (archived)
Mobility,Traffic Counts,Georgia Traffic Monitoring Program Guide,Georgia DOT,https://www.dot.ga.gov/DriveSmart/Data/Documents/Guides/2025_Georgia_Traffic_Monitoring_Program.pdf,PDF,"~35 Continuous Count Stations, WIM sites, short-term portable counts across ~18,000 mi",Georgia,2025,Annual
Mobility,Traffic Counts,GEOCOUNTS - Georgia Traffic Counts,GEOCOUNTS,https://geocounts.com/gdot/,Interactive web app,Third-party interface for exploring Georgia DOT traffic count data,Georgia,Multi-year historical,Continuous
Mobility,Travel Time & Speed,NPMRDS (National Performance Management Research Data Set),FHWA / RITIS,https://npmrds.ritis.org/analytics/,Download (CSV); requires DSA,"Probe-based travel times at 5-min intervals on 400K+ NHS segments; supports LOTTR, TTTR measures",U.S.,2017-present,Continuous (weekly downloads)
Mobility,Railroad Crossings,NTAD - Railroad Grade Crossings,BTS / FRA,https://geodata.bts.gov/maps/usdot::railroad-grade-crossings,"Download (GDB, SHP, CSV, GeoJSON)",National Highway-Rail Crossing Inventory; filter to Georgia and at-grade crossings,U.S.,Varies by layer,Quarterly
Connectivity,Traffic Generators,FAA Airport Data & NPIAS,FAA,https://www.faa.gov/data_research/aviation_data_statistics/data_downloads,"Download (CSV, GDB)",All U.S. airports and aviation facilities; Georgia has 104 public-use airports,U.S.,N/A (current snapshot),Every 28 days
Connectivity,Traffic Generators,Aviation Facilities (BTS/NTAD),BTS,https://geodata.bts.gov/datasets/usdot::aviation-facilities/about,"Download (SHP, GeoJSON, CSV)",Geographic point database of all aerodromes; updated every 28 days,U.S.,N/A (current snapshot),Every 28 days
Connectivity,Traffic Generators,GDOT Aviation Planning,Georgia DOT (GDOT),https://www.dot.ga.gov/GDOT/pages/AviationPlanning.aspx,Reports; plans,Georgia Statewide Aviation System Plan (GSASP) and airport data,Georgia,Current plan,Periodic
Connectivity,Traffic Generators,NPS National Park Boundaries,National Park Service (NPS),https://public-nps.opendata.arcgis.com/datasets/nps-boundary-1,Download (SHP); REST service,Official NPS unit boundaries nationwide; filter to Georgia parks,U.S.,N/A (current boundaries),Continuous
Connectivity,Traffic Generators,Military Installations (TIGER/Line),U.S. Census Bureau,https://catalog.data.gov/dataset/tiger-line-shapefile-2022-nation-u-s-military-installation,Download (shapefile),Military installation boundaries; Fort Stewart/Hunter AAF and Robins AFB in Georgia,U.S.,2015-2024,Annual (TIGER release)
Connectivity,Traffic Generators,NCES IPEDS Postsecondary School Locations,NCES / Dept. of Education,https://nces.ed.gov/programs/edge/Geographic/SchoolLocations,"Download (SHP, CSV)",College and university locations with geocodes; filter to Georgia,U.S.,Multi-year,Annual
Connectivity,Traffic Generators,NCES EDGE Public School Locations,NCES / Dept. of Education,https://nces.ed.gov/programs/edge/geographic/schoollocations,"Download (SHP, CSV); REST service",Geocoded K-12 public schools and districts; useful for school travel and traffic generator analysis,U.S.,2015-16 through 2024-25,Annual
Connectivity,Traffic Generators,HIFLD Hospitals,HIFLD / DHS,https://hifld-geoplatform.hub.arcgis.com/datasets/geoplatform::hospitals-1?layer=0,"Download (CSV, SHP, GeoJSON); REST service","Hospital and medical center locations for access, emergency response, and critical facility analysis",U.S.,Current snapshot,Periodic
Connectivity,EV & Alternative Fuels,NEVI Corridors – Georgia EV Infrastructure,GDOT / FHWA,https://nevi-gdot.hub.arcgis.com/,Interactive hub; downloads,"EV charging corridor plan: I-75, I-85, I-95, I-20, I-16, I-185, US-82, US-441",Georgia,2022-present,Annual (per NEVI requirement)
Connectivity,EV & Alternative Fuels,Alternative Fueling Station Locator,DOE AFDC,https://afdc.energy.gov/corridors,"Download (CSV, GeoJSON, SHP)",EV charging and alternative fuel stations along designated corridors,U.S.,N/A (current snapshot),Continuous
Socioeconomic,Population,Decennial Census 2020,U.S. Census Bureau,https://data.census.gov/,Download (CSV); API,"Total population, housing units, race/ethnicity at block level",U.S.,"2000, 2010, 2020",Every 10 years
Socioeconomic,Population,Census Population Estimates Program (PEP) 2020-2025,U.S. Census Bureau,https://www2.census.gov/programs-surveys/popest/datasets/2020-2025/,Download (CSV),"Annual county-level population estimates for all U.S. counties, April 2020 to July 2025",U.S.,2020-2025,Annual
Socioeconomic,Demographics,ACS 5-Year Estimates,U.S. Census Bureau,https://data.census.gov/,Download (CSV); API,"Median income, education, poverty, commute mode at block-group level",U.S.,2005-2009 through 2020-2024,Annual (rolling 5-year window)
Socioeconomic,Commuting,ACS Commuting & Transportation Tables,U.S. Census Bureau,https://data.census.gov/,CSV; API,"Mode share, travel time, vehicles per HH, work-from-home; state/county/tract/block group",U.S.,2005-2009 through 2020-2024,Annual (rolling 5-year window)
Socioeconomic,Commuting,Census Transportation Planning Products (CTPP),AASHTO Census Transportation Solutions,https://transportation.org/census-transportation-solutions/datasets/,Web app; download tables,"Residence-, workplace-, and flow-based ACS special tabulations for journey-to-work and commute flow analysis",U.S.,2006-2010 through 2016-2020,Every 5 years (ACS-based product)
Socioeconomic,Employment,"LEHD / LODES (WAC, RAC, OD)",U.S. Census Bureau,https://lehd.ces.census.gov/data/,CSV (gzipped),"Block-level employment by NAICS, worker characteristics, home-to-work flows",U.S.,2002-2023,Annual (~2 year lag)
Socioeconomic,Employment,Economic Census 2022,U.S. Census Bureau,https://www.census.gov/programs-surveys/economic-census/data.html,"Tables, APIs, downloads",Industry structure & performance; business establishments and revenue by county,U.S.,"2002, 2007, 2012, 2017, 2022",Every 5 years
Socioeconomic,Population Projections,OPB Population Projections (2020-2060),Georgia Governor's Office of Planning and Budget,https://opb.georgia.gov/census-data/population-projections,Download (Excel),"County-level population projections by age, sex, race through 2060",Georgia,Projections: 2020-2060,Periodic (latest: 2025 release)
Socioeconomic,Employment Projections,BLS National Employment Projections (2024-2034),Bureau of Labor Statistics,https://data.bls.gov/emp/,Download (CSV; Excel),National employment projections by industry and occupation; 10-year horizon,U.S.,Prior editions: 2022-2032,Biennial
Socioeconomic,Employment Projections,Projections Central – State Long-Term Occupational Projections,State LMI Agencies / DOL,https://projectionscentral.org/Projections/LongTerm,Download (Excel; CSV),State-level long-term employment projections by occupation; ~10-year horizon; covers all states,U.S.,Varies by state,Per state (~every 2 years)
Socioeconomic,Employment Projections,Georgia DOL Labor Market Explorer (Employment Projections),Georgia Department of Labor,https://explorer.gdol.ga.gov/,Interactive; PDF reports,Long-term industry and occupation projections for Georgia statewide and workforce development regions,Georgia,Current ~10-year window,Periodic
Climate & Resilience,Elevation,Digital Elevation Models – The National Map (3DEP),USGS,https://apps.nationalmap.gov/downloader/,Download (DEMs),1-m DEMs and source lidar for Georgia via The National Map,U.S.,N/A (cumulative),Continuous
Climate & Resilience,Flood Hazard,FEMA National Flood Hazard Layer (NFHL) Viewer,FEMA,https://hazards-fema.maps.arcgis.com/apps/webappviewer/index.html?id=8b0adb51996444d4879338b5529aa9cd,Interactive viewer; web services,Official NFHL; print FIRMettes; supports project siting & NEPA review,U.S.,N/A (cumulative),Continuous
Climate & Resilience,Sea Level Rise,NOAA Digital Coast Sea Level Rise Viewer Data (Georgia),NOAA Digital Coast,https://coast.noaa.gov/slrdata/Extent_Rasters/GA/index.html,Download (GeoTIFF; ancillary rasters),Georgia coastal inundation extents for 0-10 ft sea level rise; useful for coastal resilience and evacuation planning,Georgia coast,N/A (current model outputs),Periodic
Land Use,Land Cover,National Land Cover Database (NLCD),USGS (The National Map),https://www.mrlc.gov/data,Download (raster),Land cover classifications; annual since 1985 in latest release,U.S.,1985-2024,Annual (new Annual NLCD)
Land Use,Opportunity Zones,Qualified Opportunity Zones (statewide),U.S. Treasury CDFI Fund,https://www.cdfifund.gov/opportunity-zones,"Lists, maps & shapefiles (via Data.gov/HUD links)",Official OZ census tracts; crosswalk with corridor investments,U.S.,2018,One-time designation
Land Use,Land Cover,Georgia Land Use Trends (GLUT),UGA NARSAL,https://narsal.uga.edu/glut/,GIS raster,Statewide 18-class land cover; 1974-2008 time series from LANDSAT,Georgia,1974-2008,Static (archived)
Land Use,Parcels & Zoning,Fulton County Open Data (Parcel/Zoning),Fulton County GIS,https://gisdata.fultoncountyga.gov/,"ArcGIS Open Data (SHP, GeoJSON)","Parcels, zoning, land use for Fulton County (Atlanta area)",Georgia,N/A (current snapshot),Continuous
Land Use,Planning,Georgia DCA Mapping and Analytics,Georgia Dept. of Community Affairs,https://dca.georgia.gov/community-assistance/government-authority-reporting/mapping-and-analytics,Web tools; PDF,"Community planning data, comprehensive plans, land use maps, regional resources",Georgia,Varies by resource,Periodic
Environmental,Wetlands,National Wetlands Inventory (NWI) – Downloads & Services,U.S. Fish & Wildlife Service,https://www.fws.gov/program/national-wetlands-inventory/data-download,WMS/feature services; downloads,Wetlands & deepwater habitats statewide,U.S.,N/A (cumulative),Biannual (May & October)
Environmental,Critical Habitat,Critical Habitat – ECOS Feature Service,U.S. Fish & Wildlife Service (ECOS),https://ecos.fws.gov/ecp/services,Feature & tile services,Proposed/final critical habitat layers (filter to Georgia),U.S.,N/A (cumulative),Continuous
Environmental,State Environmental,Georgia EPD GIS Databases,Georgia EPD,https://epd.georgia.gov/geographic-information-systems-gis-databases-and-documentation,GIS databases; shapefiles,"Wetlands, protected rivers/mountains, water supply watersheds, water quality sites",Georgia,Varies by dataset,Periodic
Environmental,Water Quality,Georgia EPD Water Quality (GOMAS),Georgia EPD,https://gomaspublic.gaepd.org/,Web database; query tool,"Physical, chemical, biological water quality data statewide",Georgia,Multi-year historical,Continuous
Cultural & Historic,Historic Places,National Register of Historic Places – Data Downloads,National Park Service (NPS),https://www.nps.gov/subjects/nationalregister/data-downloads.htm,Geodatabase; CSV/XLS,Public NRHP points/polygons; filter to Georgia,U.S.,N/A (cumulative),Continuous
Environmental Justice,Screening Tools,EPA EJScreen (v2.3),U.S. EPA,https://screening-tools.com/epa-ejscreen,"Interactive tool; download (CSV, SHP)",Environmental + demographic indicators at block-group level; includes transportation access index,U.S.,2015-2024,Annual
Land Use,Location Efficiency,EPA Smart Location Database (SLD),U.S. EPA,https://www.epa.gov/smartgrowth/smart-location-mapping,Interactive map; CSV; GIS services,"Block-group indicators for density, land-use mix, street design, destination accessibility, and transit proximity",U.S.,Versioned releases (latest v3.0),Periodic
Environmental Justice,Screening Tools,CDC/ATSDR Environmental Justice Index (EJI),CDC/ATSDR,https://www.atsdr.cdc.gov/place-health/php/eji/index.html,Interactive; downloads,Cumulative EJ rankings combining environmental burden and social vulnerability,U.S.,2022,TBD (first edition 2022)
Transit,GTFS Feeds,MARTA GTFS Feed,MARTA,https://itsmarta.com/app-developer-resources.aspx,Download (GTFS zip),Static GTFS feed for Metropolitan Atlanta Rapid Transit Authority,Georgia,N/A (current schedule),Per service change
Transit,GTFS Feeds,ARC Regional GTFS Feeds (Consolidated),Atlanta Regional Commission (ARC),https://opendata.atlantaregional.com/datasets/61dca73994b746ac97eae8c0f83fdedc,Download (GTFS),Consolidated GTFS for all fixed-route transit in the Atlanta region,Georgia,N/A (current schedule),Per service change
Transit,GTFS Feeds,Xpress GTFS Feed,ATL Xpress,https://gamobility.info/wp-content/uploads/2025/09/google_transit.zip,GTFS (ZIP),Commuter bus across the 13-county metro Atlanta region; direct static GTFS feed,Georgia,N/A (current schedule),Per service change
Transit,GTFS Feeds,CobbLinc GTFS Feed,CobbLinc / Transitland,https://www.transit.land/feeds/f-dn5b-cobbavl,GTFS (ZIP),Local and commuter bus routes in Cobb County with Atlanta connections; feed details and archives via Transitland,Georgia,Archived versions available,Continuous
Transit,GTFS Feeds,Gwinnett County Transit (Ride Gwinnett) GTFS,Ride Gwinnett,https://realtimegwinnett.availtec.com/InfoPoint/gtfs-zip.ashx,GTFS (ZIP),Local and commuter bus within Gwinnett County and connections to Atlanta; direct static GTFS feed,Georgia,N/A (current schedule),Per service change
Transit,GTFS Feeds,Chatham Area Transit (CAT) GTFS Feed,Chatham Area Transit / Transitland,https://www.transit.land/feeds/f-djwq-chathamareatransit,GTFS (ZIP),Bus routes and schedules for the Savannah metro area; feed details and archives via Transitland,Georgia,Archived versions available,Continuous
Transit,GTFS Feeds,Transitland - Georgia Transit Feeds,MobilityData / Transitland,https://www.transit.land/feeds,GTFS (ZIP); API,Aggregated GTFS feeds from all Georgia transit operators; archived versions,Georgia,Archived versions available,Continuous
Transit,Planning,GDOT Regional Transit Development Plans,Georgia DOT (GDOT),https://regionaltdp-gdot.hub.arcgis.com/search,Interactive hub; downloads,Statewide regional transit development plan data and maps,Georgia,Varies by region,Periodic
Transit,Operations,National Transit Database (NTD),FTA,https://www.transit.dot.gov/ntd,Excel; CSV,"Ridership, operating stats, financials, asset condition for all GA transit agencies",U.S.,2002-2024,Annual
Freight & Logistics,Multimodal,NTAD (National Transportation Atlas Database),BTS,https://www.bts.gov/geospatial/national-transportation-atlas-database,"Download (GDB, SHP, CSV, GeoJSON)","~90 datasets: railroad crossings, intermodal terminals, freight facilities, ports, airports",U.S.,Varies by layer,Quarterly
Freight & Logistics,Commodity Flows,Freight Analysis Framework (FAF5),FHWA / BTS,https://www.bts.gov/faf,"Download (CSV, Access)","Freight flows by state/metro, 42 commodities, all modes; includes projections to 2050",U.S.,2012-2024,Annual updates to FAF5.x
Freight & Logistics,Commodity Flows,Commodity Flow Survey (CFS) 2022,Census Bureau / BTS,https://www.bts.gov/cfs,Tables; PUMS microdata,"Commodity type, value, weight, origin/destination, mode; Georgia subarea estimates",U.S.,"1993, 1997, 2002, 2007, 2012, 2017, 2022",Every 5 years
Freight & Logistics,Rail,Georgia State Rail Plan & Rail Map,Georgia DOT (GDOT),https://www.dot.ga.gov/GDOT/pages/Rail.aspx,PDF reports; GIS data,"28 freight railroads (CSX, Norfolk Southern + short lines); intermodal facilities",Georgia,2015,Periodic
Freight & Logistics,Freight Planning,Georgia Statewide Freight and Logistics Plan,Georgia DOT,https://www.dot.ga.gov/GDOT/pages/freight.aspx,PDF; maps,"2023 BIL-compliant plan; freight corridors, critical corridors, bottleneck analysis",Georgia,2023,Periodic (BIL-required)
Freight & Logistics,Truck Routes,ARC Freight Dashboard & Regional Truck Routes,Atlanta Regional Commission (ARC),https://opendata.atlantaregional.com/maps/28b5c124dc3f4a8e8449c999b6e1ad74,Interactive dashboard; downloads,"Truck routes, freight clusters, rail networks, EJ scores for Atlanta region (2024 ARFMP)",Georgia,2024,Per ARFMP cycle (~5 years)
Freight & Logistics,Truck Routes,ARC Regional Truck Routes,Atlanta Regional Commission,https://data-hub.gio.georgia.gov/datasets/GARC::regional-truck-routes,GIS feature layer,Designated truck routes for the Atlanta metropolitan region,Georgia,N/A (live service),Continuous
Freight & Logistics,Ports,Waterborne Commerce Statistics (WCSC),USACE – Waterborne Commerce Statistics Center,https://www.iwr.usace.army.mil/About/Technical-Centers/WCSC-Waterborne-Commerce-Statistics-Center/,Data portal; tools & downloads,"Port tonnage, vessel movements for Georgia ports (e.g., Savannah, Brunswick)",U.S.,2001-2023,Annual
Freight & Logistics,Ports,Port Performance Freight Statistics (PPFS),USDOT Bureau of Transportation Statistics,https://www.bts.gov/ports,Dashboards & annual reports,Performance indicators; filter to Georgia ports,U.S.,Multi-year,Annual
Freight & Logistics,Ports,Georgia Ports Authority Statistics,Georgia Ports Authority,https://gaports.com/sales/by-the-numbers/,Web reports; PDF,"Monthly/annual TEUs, RoRo cargo, vessel calls, rail lifts for Savannah & Brunswick",Georgia,Multi-year,Monthly
Bicycle & Pedestrian,Programs,GDOT Bicycle & Pedestrian Program,Georgia DOT (GDOT),https://www.dot.ga.gov/GDOT/pages/BikePed.aspx,Reports; maps,Georgia bicycle routes and pedestrian program data,Georgia,N/A,Periodic
Bicycle & Pedestrian,Infrastructure,ARC Bike Data,Atlanta Regional Commission (ARC),https://arc-garc.opendata.arcgis.com/search?tags=Bike,Download (various),Bike lanes and trail data for the Atlanta metro region,Georgia,N/A (current snapshot),Continuous
Bicycle & Pedestrian,Trails,Atlanta Region Trail Plan Inventory,Atlanta Regional Commission,https://opendata.atlantaregional.com/datasets/atlanta-region-trail-plan-inventory,GIS feature layer,Existing and planned regionally-significant trail corridors,Georgia,N/A (current snapshot),Per plan cycle
Bicycle & Pedestrian,Infrastructure,City of Atlanta Open Data - Bike/Ped Layers,City of Atlanta DPCD,https://dpcd-coaplangis.opendata.arcgis.com/,"ArcGIS Open Data (SHP, GeoJSON, CSV)","Bike lanes, sidewalks, pedestrian infrastructure in City of Atlanta",Georgia,N/A (current snapshot),Continuous
Bicycle & Pedestrian,Infrastructure,Atlanta Bicycle Coalition Infrastructure Tracker,Atlanta Bicycle Coalition,https://www.atlantabike.org/infra-tracker/,Interactive web map,"Ongoing bike lanes, sidewalks, trail improvements across Atlanta",Georgia,N/A (current snapshot),Continuous
Household Travel,Survey Data,National Household Travel Survey (NHTS) 2022,FHWA,https://nhts.ornl.gov/,CSV/SAS; online data explorer,Multimodal personal travel stats; Georgia is an add-on state with state-specific data,U.S.,"1983, 1990, 1995, 2001, 2009, 2017, 2022",Every 5-8 years
Travel Demand Modeling,Statewide Model,Georgia Statewide Travel Demand Model (GSTDM),Georgia DOT,https://www.dot.ga.gov/InvestSmart/TravelDemandModels/Development%20of%20Statewide%20Model.pdf,TransCAD model files; PDF,"Four-step model with 2,242 TAZs; 2019/2020 base year update with 2050 forecasts",Georgia,2020 base; 2050 forecast,Per LRTP cycle
Travel Demand Modeling,Regional Model,ARC Activity-Based Model Files,Atlanta Regional Commission,https://abmfiles.atlantaregional.com/,Model files; tabular data,Activity-based travel demand model data for the 21-county Atlanta region,Georgia,Current model year,Per MTP cycle (~4 years)
LiDAR,Point Clouds,USGS 3DEP – Lidar Explorer,USGS,https://apps.nationalmap.gov/lidar-explorer/,Viewer & downloads,"Point clouds (LAS/LAZ), DEMs; Georgia statewide coverage",U.S.,N/A (cumulative),Continuous
GIS Boundaries & Base Layers,Census Boundaries,TIGER/Line Shapefiles (2024),U.S. Census Bureau,https://www.census.gov/cgi-bin/geo/shapefiles/index.php,Download (shapefiles),"Census blocks, block groups, tracts, counties, roads, water features",U.S.,2007-2024,Annual
GIS Boundaries & Base Layers,Parcels & Imagery,Georgia GIS Clearinghouse,Georgia GIS Clearinghouse / GIS1,https://georgiagisclearinghouse.com/,"Download (SHP, various)","County parcels, address points, road centerlines, aerial imagery",Georgia,Varies by county,Varies by county
GIS Boundaries & Base Layers,Statewide GIS,Georgia GIS Data Clearinghouse,Georgia Spatial Data Infrastructure,https://data.georgiaspatial.org/,Shapefiles; imagery,"Aerial photography, roads, utilities, geology, demographic data statewide",Georgia,Varies by dataset,Periodic
GIS Boundaries & Base Layers,Statewide GIS,Georgia GIO Data Hub,Georgia Geospatial Information Office,https://data-hub.gio.georgia.gov/,"Download (CSV, KML, GeoJSON, GeoTIFF)",Statewide geospatial data discovery and download portal,Georgia,Varies by dataset,Periodic
GIS Boundaries & Base Layers,Regional GIS,ARC Open Data & Mapping Hub,Atlanta Regional Commission (ARC),https://opendata.atlantaregional.com/,Various (SHP; REST; downloads),"Regional transportation plan, expressways, land use, demographics for metro Atlanta",Georgia,Varies by layer,Continuous
GIS Boundaries & Base Layers,Transportation,USGS National Transportation Dataset - Georgia,USGS,https://www.sciencebase.gov/catalog/item/5a5f36bee4b06e28e9bfc1ba,Shapefile; File Geodatabase,"Roads, railroads, trails, airports from TIGER/Line + HERE data",U.S.,N/A,Periodic
GIS Boundaries & Base Layers,Crowdsourced,OpenStreetMap - Georgia Extract,Geofabrik / OpenStreetMap,https://download.geofabrik.de/north-america/us/georgia.html,PBF; Shapefile; OSM XML,"Complete road network, buildings, POIs, land use; updated daily (~88 MB)",Georgia,Full history available,Daily
Regional Planning,Transportation Plan,ARC Regional Transportation Plan (RTP),Atlanta Regional Commission,https://opendata.atlantaregional.com/datasets/GARC::regional-transportation-plan/about,"GIS feature layer (SHP, GeoJSON, CSV)",Projects from the Metropolitan Transportation Plan for the Atlanta region,Georgia,Current plan,Per MTP cycle (~4 years)
Regional Planning,MPO Directory,Georgia MPO Directory,GAMPO,https://gampo.org/members/,Various per MPO,"Directory and data links for all GA MPOs (ARC, CORE MPO, Macon, ARTS, etc.)",Georgia,N/A,Varies by MPO
Project Information,GDOT Projects,GDOT Projects Search Portal,Georgia DOT,https://projectsportal-gdot.hub.arcgis.com/,ArcGIS Hub,Search GDOT transportation construction and improvement projects statewide,Georgia,N/A (live service),Continuous
Federal Data Portal,Multi-Dataset,US DOT Transportation Open Data Portal,US DOT,https://data.transportation.gov/,"Various (CSV, API, SHP)","Central federal portal; HPMS, NTD, safety, freight datasets filterable to Georgia",U.S.,Varies by dataset,Varies by dataset
